,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd,gRodon.d.mean,gRodon.d.sd
220410_Pyro_leaf_123_16S.16S.exp.,1.7509839321365064,0.8843279591181353,1.3041257338076022,0.8371215052606163,3749.9268927631138,1365.1746861932954,4488201.941983166,1755392.7182604265,54.94098893269865,13.104414465049874,0.33674970703576007,0.13760968836690923,0.5355694933021158,0.23258034633764835,4.608248337803244,3.408045879519316
220410_Pyro_water_13_16S.16S.exp.,2.8503962260507247,1.6891942781461302,2.211340830146558,2.0019971367358402,3592.1739022483994,1777.9913590694923,4116510.6562849004,1974199.196493612,51.925137518843265,12.9263172675895,0.45991363083946213,0.11144685057027372,0.46689782208005226,0.12624683411300772,4.184897329561309,2.9969652956985793
220410_Pyro_leaf_161_16S.16S.exp.,2.204305437613852,1.1586873244176734,1.4518857939707328,0.9318463593538067,3695.1012766643266,1160.9729347287757,4327785.561100063,1475675.6528975056,55.52630191056589,11.372435416370726,0.34509458528681686,0.12456343502859453,0.48465173733068545,0.20224980743172408,4.598054464657799,3.2932176887367555
220410_Pyro_leaf_179_16S.16S.exp.,1.9697168968460448,1.1634759594793544,2.5575682244173628,2.1003130509972103,3833.707619388834,1403.515975764077,4623633.317703143,1880356.7155153474,51.001285275712604,13.58959560293932,0.3867521242736709,0.1492678162978976,0.4898104236711162,0.20281721641040795,5.489412109699011,2.975469105975519
220410_Pyro_water_11_16S.16S.exp.,3.143365951749836,1.6058608184596623,1.5731409199429707,1.2101942130345078,3617.0244558300956,1256.1819605736405,4150110.6265015653,1396860.0006696768,48.68365903726756,11.616090595812993,0.3794738846294572,0.11758478901000147,0.4891191896245892,0.20654433714712975,3.604569987605576,2.878718427005399
220410_Pyro_plank_111_16S.16S.exp.,2.873085058400198,1.7851429086499424,1.6550440487811753,1.4964669282572973,3342.7283346530244,1314.3168531173972,3961153.7115843697,1831280.039696876,48.81625770471963,12.884602917346045,0.40540073626783485,0.12950092448747422,0.5107369123203344,0.1904178303742644,3.8823627752481302,3.117486517760578
220410_Pyro_water_88_16S.16S.exp.,1.785487785092812,1.249931549229048,1.228463120983113,0.7393944209426639,2411.0047539813786,957.5313870269873,2569836.325245507,1168975.3152701643,48.97006010234227,9.164494879838934,0.4153827392171894,0.07540343375311492,0.4311863191638341,0.08988158316718341,3.707764965327658,2.3279476792204603
220410_Pyro_water_37_16S.16S.exp.,2.0736209856266172,1.2118854579363738,1.2434133399197287,0.9107876164466054,2883.1207832325476,1129.5548962377432,3175305.3135804795,1457057.1027335823,46.793714453463025,10.07194536677483,0.38535203770607207,0.09921791883149127,0.4454551568313403,0.14164327681292385,3.7808978283789916,1.8559463355193084
220410_Pyro_leaf_139_16S.16S.exp.,1.9169016288968803,0.9842578218760741,1.56775568829077,1.4325604011495243,3708.8088023799123,1337.3878641666658,4433857.134820149,1770977.6598649211,54.194753527432,11.936971734116192,0.3313168066252348,0.12758365708170044,0.5252148583767764,0.2312751653400767,5.59320887168274,3.908274886277708
220410_Pyro_leaf_136_16S.16S.exp.,1.6599427031827623,0.9245411614772845,1.4171372960692605,1.1726410961608074,3324.9754721837567,1701.454565377815,4011983.457242561,2235972.801334075,49.813715772849925,15.257443162272411,0.38718394060721034,0.18742316189605282,0.5074714547571765,0.23443459356957905,6.100478721584183,3.8919391300869153
220410_Pyro_plank_110_16S.16S.exp.,3.0270746073327635,1.2056737016843782,1.5027999239372474,1.4557433874696395,3142.440646047688,1036.7588721135269,3605733.3308026055,1364579.5637873437,47.371214611402344,13.228269398247585,0.3444060068142561,0.10981250561017197,0.39690065504041994,0.17434601539344693,3.6074038707385454,2.5447682138902255
220410_Pyro_water_02_16S.16S.exp.,2.5436688430858987,1.1073081866703576,1.5509442795368822,1.5834673155475338,4122.608242753732,1073.9148971242535,4971201.166076279,1362331.7712144903,44.361277515404815,9.49792121321991,0.2689177897022899,0.12629103654714585,0.4553678792304914,0.25790075760112496,3.0064524041301,1.7737197539970642
220410_Pyro_leaf_178_16S.16S.exp.,1.9717034624291647,1.4301380668333386,1.9031336107150447,1.6753704920917831,3686.00978390316,1523.640093309593,4493444.358523804,2053322.356038479,49.138759198209414,14.27605132497358,0.3642703140697833,0.1616870970403784,0.5113126645117068,0.23112060411843938,5.084645820631004,3.1422185836121317
220410_Pyro_water_50_16S.16S.exp.,2.146991776085494,1.3929125883240514,1.5581462324896946,1.2274461901940628,3373.0934924674625,1279.7852791339121,3922391.598103638,1686865.8731124932,48.964409213619554,8.58005561096268,0.3218582081125486,0.11119782339550027,0.586329648163111,0.231773555500224,3.8917314052883185,2.6841084413060106
220410_Pyro_water_08_16S.16S.exp.,2.002383243714634,0.8453023239570674,1.2019220404253563,0.4648429401121666,3254.7928948762124,1020.2370977595534,3786186.904354117,1323757.0826917621,48.30901373794379,10.73048574834419,0.3605727589180532,0.14753395231789798,0.5573456379128803,0.22734757679028336,3.1511841680624824,2.006689222519399
220410_Pyro_water_53_16S.16S.exp.,2.571026447382864,0.6673349028837628,1.1877605061695795,1.0288200469618887,2945.787079815749,737.1925273709179,3307600.6904938165,937707.5895726109,45.39206906467224,11.314346479883683,0.3262938075225223,0.08850363003002049,0.47386006106513273,0.20464033070715018,2.686743709712794,1.455103115748589
220410_Pyro_leaf_177_16S.16S.exp.,2.082279724024458,1.257033655401123,1.3597044687329047,0.8472925132678857,3573.4641313844977,1016.981169342934,4209755.863161206,1324150.9648212986,57.072563582124516,11.71985236895619,0.3429269616212541,0.12029356618391068,0.5027132032179841,0.19663832837291606,4.942712203190897,3.1117730912401886
220410_Pyro_water_40_16S.16S.exp.,2.3645010476245427,0.7030895618599933,1.2712963233759575,0.6030691812219834,3557.5911421339506,1046.576406932832,4230691.228007285,1482011.108303448,49.1530840813596,8.651734847552424,0.2941910974977433,0.12175782477544665,0.648547302064275,0.22138487268341744,2.688292388128547,1.7308030221693331
220410_Pyro_leaf_134_16S.16S.exp.,2.577802519241428,1.4940175999489171,1.1545592633788435,0.6606479442038414,3576.5609855119083,1415.4673765985874,4207559.155906869,1726944.239560171,51.65862926361928,12.818009817302334,0.3724304578975234,0.13830978154164458,0.4725727667515187,0.1911085422474129,4.717670775141644,3.231284722976285
220410_Pyro_water_55_16S.16S.exp.,2.239919285091513,0.694951579391778,1.1821723248046598,0.51615121890254,3309.671408246587,1168.237144543056,3913066.753791947,1585380.4187147038,48.3789229989817,6.931629294706737,0.30252204634367336,0.11926982877779728,0.6187546008943581,0.2391728359692319,2.4397543491776172,1.2336068034585979
220410_Pyro_water_27_16S.16S.exp.,1.7537164096594908,1.0425129209183124,1.3274158182388973,1.0554428371063904,3997.514491733224,791.6140162334888,4721450.323110604,1001498.7319788539,46.68238466462756,11.93046378400792,0.27098929439910324,0.1381895393554625,0.3139803933155907,0.19511178606631005,3.3250819447934545,2.3367119393439535
220410_Pyro_water_60_16S.16S.exp.,2.900944184755584,1.6286862736737642,1.7172958752437122,1.3818952536218132,3400.5208155064497,1476.018238288581,3947864.5110984207,1810624.5530862603,46.661503094523695,14.65273666673249,0.3833281606062329,0.14579212106335937,0.4453088904315496,0.18279646093767163,4.04445287556694,3.1758515690605895
220410_Pyro_leaf_124_16S.16S.exp.,1.907709298651212,1.0089853822626889,1.474807642986826,1.1931159870963417,3580.6873731307983,1644.8408300030717,4351804.519786413,2125014.5056142737,46.95617769959484,13.61145693475928,0.339429012043094,0.1978979463784298,0.41838115900236655,0.25952496741509956,5.188858902670238,3.999135203591003
220410_Pyro_water_48_16S.16S.exp.,3.2874225838303563,0.9034826323815135,2.8703846047539097,2.617602911008415,3997.5497667541604,1384.7110473013004,4602265.562563333,1848283.445745103,51.70136349506258,11.552793839119477,0.3830214860602456,0.08138986916179942,0.3845161221993841,0.0841321132327515,4.386299028003074,2.154030015768469
220410_Pyro_water_31_16S.16S.exp.,2.58821718917312,1.2189388593292605,2.1491063160130337,1.0014719375505057,3271.6247608612935,1338.941911364811,3632043.6867030947,1611562.7145710546,58.27861681643693,9.050817362360064,0.40233325992750085,0.05967142603182479,0.4180221091309454,0.08019890884748858,4.483635399641987,2.8845293341793057
220410_Pyro_water_73_16S.16S.exp.,1.9498878869391674,1.059026099193199,1.1161831461474887,0.668353096072557,2942.723950764546,1278.1809412423665,3320376.411995915,1762477.9698836026,46.373982025792394,8.146765111602722,0.35466645607979924,0.12657358368581523,0.5022104443815094,0.1865026844659615,3.828183556202251,1.840957097474542
220410_Pyro_water_64_16S.16S.exp.,1.9735656796288779,0.8528609799445287,1.2802918070835174,0.6814393351553756,3132.2044074200876,1106.525084714117,3586619.5793188866,1392444.534852432,48.717274753043355,12.724707089674133,0.3651960427485247,0.16300058757516836,0.5613958441640621,0.24182463175678418,3.298727499693847,1.8876888225727315
220410_Pyro_leaf_155_16S.16S.exp.,1.9259343263071789,1.3064063154618004,1.3327390483832597,0.8307436813282737,3723.9149222197675,961.9120636776603,4263648.028608188,1171403.7591617096,58.95218630428914,10.001723269721715,0.3605613167361936,0.10397421629521343,0.4781130971198662,0.17499654963427264,6.762538824699596,4.665369839208852
220410_Pyro_water_52_16S.16S.exp.,2.2990695695164547,1.0581129692153888,1.4111121576421046,1.1972949837696496,3257.3729849922524,1259.4573797837525,3728047.9735001232,1705465.2766186856,47.770893021156276,10.28162688113467,0.34992730131012006,0.11699658013716654,0.5220535916949034,0.1839447089684742,4.1476005816499075,2.326212601873854
220410_Pyro_plank_106_16S.16S.exp.,2.9447299491432957,0.5359829502565336,1.216663624704206,0.8978338882305651,3004.2948016055275,589.0345151363101,3279292.8244051826,731953.4460962286,52.997215815886754,12.17155684308704,0.3502319422918259,0.06278236101968683,0.35729088828603167,0.0800242793687908,3.46824411825216,1.319896913519314
220410_Pyro_water_04_16S.16S.exp.,2.0548095518760547,1.124391428595115,1.3261456436107968,0.7460169220303294,3662.0038409573826,890.1996575569981,4291134.784720699,1144462.9468321018,50.68286159177484,9.887372352353406,0.3041422975329725,0.12851340750611356,0.5517204097631819,0.27173089777377346,2.79745628478896,1.8537759552130648
220410_Pyro_plank_97_16S.16S.exp.,2.9024402520535637,0.549979637127349,1.0717823034042337,0.45185162727937617,3017.3135389971144,531.6013753992319,3245047.9049604703,623449.9839857933,56.4307241215917,9.208478345193264,0.37672380595356936,0.047789408761871835,0.38246632880991366,0.06274295929665931,3.692388638520836,1.081321440871587
220410_Pyro_water_19_16S.16S.exp.,2.301709837299025,1.958357466314929,1.4816211406014226,1.3045973110563698,3662.7939067390553,874.2150653213531,4237320.301822683,1049927.4843747574,49.67758755434859,12.771964677653687,0.322334386987056,0.134987238602219,0.44455242888819135,0.23412879125774627,4.014725008231316,2.6252501835521405
220410_Pyro_water_16_16S.16S.exp.,2.216780275063156,1.7930590139746074,1.3479116952493324,1.151598346660337,3391.5467261251083,1211.4231661759732,3883700.1203784384,1437559.6479589932,49.83205564706704,14.149950402008493,0.38446871184676396,0.15678809727343082,0.45983736259319435,0.20641483842143163,4.735791663534628,3.279337677314935
220410_Pyro_leaf_143_16S.16S.exp.,2.2788807565934524,1.203236075485151,1.2446303753906685,0.69299645625466,3561.0601385302853,963.2061304792844,4186311.1199609977,1182843.6529705112,54.92363612390117,11.575080059213192,0.331746760028215,0.11239742655980108,0.44733457744334393,0.1998564347286385,5.223826048634993,3.605281246467112
220410_Pyro_leaf_147_16S.16S.exp.,1.901988390062084,1.24790980700063,1.2018442134031786,0.6089214522135026,3764.1163282963375,842.3344311032783,4303420.339434555,1063933.0609581943,59.152516390912915,9.750820622127659,0.34738143587552545,0.09159368950410803,0.4432375698665364,0.16970398800204964,7.879877681269986,4.804006830799847
220410_Pyro_water_70_16S.16S.exp.,2.054750414153131,0.9538266329597516,1.4241455553351225,1.0489465739188006,2840.7986668806325,1094.3951215596212,3222860.8460984617,1365834.7953967159,50.82964072561769,9.174872349744803,0.34564908036642955,0.11710353217112375,0.5252958917127836,0.24485644912972213,2.945954991266167,2.0896365836250137
220410_Pyro_leaf_172_16S.16S.exp.,2.562423399346545,1.4678756040491183,1.2758569335990047,0.7291467352993052,3663.963989789324,1143.6372771982656,4241172.543882982,1475382.6371775472,56.45110121401261,11.191963993476161,0.38093651316599103,0.12259469896727553,0.4729686875406303,0.17474455771629457,4.149717946387469,3.0197968708564646
220410_Pyro_leaf_149_16S.16S.exp.,1.9797778186005048,1.155847777788071,1.3522320131560446,0.9416667124085858,3916.4676518188317,1348.315556901098,4765010.68485604,1885153.052096213,52.67655731045267,12.14468489830376,0.30511854949089756,0.13449481524023163,0.4452273278630911,0.23784040532203007,4.825886098632933,3.6588158767234265
220410_Pyro_water_46_16S.16S.exp.,2.3959935638577416,1.0741043486212876,1.8516469225473033,2.0568781260819637,3013.317647357478,1377.359543039394,3364179.8166224854,1835640.567759955,48.00943073679001,8.018901986858893,0.3974372939867141,0.06406657406201427,0.41512502985536964,0.08730757306589558,4.279307240821545,2.0503010109426287
220410_Pyro_plank_115_16S.16S.exp.,2.385304834922265,1.2902538226499858,3.6618539094022298,2.782373190189056,3017.4681278558114,1591.1953486452758,3494621.757245718,1979507.3531630845,47.99689923443347,17.390212078854667,0.42020930131666057,0.11839987818045072,0.470607106039213,0.14851013489325476,5.019352970327295,2.3374732949522787
220410_Pyro_water_17_16S.16S.exp.,2.177299555673453,1.4364056155051808,1.6541658376992285,1.5431829539786404,3492.2026042472608,1156.541823251179,3949683.8912431565,1367721.289903307,49.63459367150488,14.215744004324508,0.374094553858155,0.14255140603414088,0.4042677839179368,0.17851091303429129,4.088331195366873,3.1230820785935536
220410_Pyro_water_28_16S.16S.exp.,2.989466143871904,1.879099191728835,1.694463755854729,1.508455758719195,3786.216692021103,1258.4361896891085,4242064.43715654,1456611.0143133446,57.344376878461524,13.290024706373496,0.4262152210767001,0.11408623721264578,0.468376647696607,0.15739914841390157,4.204171554628092,2.655849114227994
220410_Pyro_water_59_16S.16S.exp.,2.502817487989594,0.733426713439671,1.1194922595477672,0.5861146892814139,3117.98187061335,850.6507461141272,3564278.486880201,1140189.7458316651,43.31507977593608,11.287227309832955,0.33537991271318524,0.1251780401541909,0.5458239707261667,0.19388471133971621,3.041030810255826,2.051444771361358
220410_Pyro_water_42_16S.16S.exp.,2.642620299939811,0.9591673055169169,1.098607279952511,0.38373918008288393,3843.4076981295225,1079.7508354992522,4616792.277077807,1579601.559879767,47.03702216158432,7.270686573266324,0.2732879139872894,0.11958288511907916,0.6242155799311983,0.21506603616494324,2.7497324833331303,1.372295662277301
220410_Pyro_leaf_141_16S.16S.exp.,2.0389825658235026,1.122259008778503,1.296326262019572,0.7984530086026683,3693.384418455805,1420.3498778970443,4440953.784503018,1990433.5210546674,52.17992029255335,13.262467560076434,0.3426271495702006,0.15408436465333591,0.4368797160375191,0.21122210712509795,5.142303672149466,3.8113383032468975
